id,name,category,carbon_score,water_score,plastic_score
1,Reusable Stainless Steel Water Bottle,Water Bottle,1,1,1
2,Glass Water Bottle,Water Bottle,1,1,1
3,Collapsible Silicone Water Bottle,Water Bottle,1,1,1
4,Insulated Travel Mug,Water Bottle,1,1,1
5,Bamboo Water Bottle,Water Bottle,1,1,1
6,Bamboo Toothbrush,Toothbrush,1,1,1
7,Electric Toothbrush,Toothbrush,2,2,2
8,Charcoal Toothbrush,Toothbrush,1,1,1
9,Travel Toothbrush,Toothbrush,1,1,1
10,Silicone Toothbrush,Toothbrush,1,1,1
11,Cloth Shopping Bags,Shopping Bag,1,1,1
12,Reusable Canvas Tote Bag,Shopping Bag,1,1,1
13,Jute Shopping Bag,Shopping Bag,1,1,1
14,Recycled Plastic Shopping Bag,Shopping Bag,1,1,2
15,Foldable Shopping Bags,Shopping Bag,1,1,1
16,Compostable Phone Case,Phone Case,2,2,1
17,Recycled Plastic Phone Case,Phone Case,2,2,1
18,Bamboo Phone Case,Phone Case,2,2,1
19,Leather Phone Case,Phone Case,2,2,2
20,Silicone Phone Case,Phone Case,1,1,2
21,Biodegradable Trash Bags,Trash Bag,2,2,1
22,Compostable Trash Bags,Trash Bag,2,2,1
23,Recycled Plastic Trash Bags,Trash Bag,2,3,2
24,Kitchen Waste Bags,Trash Bag,1,2,1
25,Heavy Duty Trash Bags,Trash Bag,2,2,2
26,Electric Toothbrush with Rechargeable Battery,Toothbrush,2,2,2
27,Sonic Electric Toothbrush,Toothbrush,2,2,2
28,UV Sanitizing Electric Toothbrush,Toothbrush,2,2,2
29,Smart Electric Toothbrush with App Integration,Toothbrush,2,2,2
30,Replacement Brush Heads for Electric Toothbrush,Toothbrush,1,1,1
31,Recycled Paper Towels,Paper Towel,2,3,2
32,Bamboo Paper Towels,Paper Towel,2,3,1
33,Cloth Paper Towels,Paper Towel,1,1,1
34,Unbleached Paper Towels,Paper Towel,1,1,1
35,Eco-friendly Paper Towels,Paper Towel,1,1,1
36,Organic Cotton Bed Sheets,Bedsheet,1,2,2
37,Bamboo Bed Sheets,Bedsheet,1,1,2
38,Linen Bed Sheets,Bedsheet,1,1,2
39,Hemp Bed Sheets,Bedsheet,1,2,2
40,Recycled Fabric Bed Sheets,Bedsheet,2,2,1
41,Bamboo Cutlery Set,Cutlery Set,1,1,1
42,Stainless Steel Cutlery Set,Cutlery Set,1,1,1
43,Recycled Plastic Cutlery Set,Cutlery Set,2,2,2
44,Wooden Cutlery Set,Cutlery Set,1,1,1
45,Titanium Cutlery Set,Cutlery Set,1,1,1
46,Plant-Based Cleaning Products,Cleaning Product,1,1,2
47,Organic All-Purpose Cleaner,Cleaning Product,1,1,2
48,Natural Glass Cleaner,Cleaning Product,1,1,2
49,Organic Bathroom Cleaner,Cleaning Product,1,1,2
50,Non-toxic Floor Cleaner,Cleaning Product,1,1,2
51,Eco-friendly Laundry Detergent,Laundry Detergent,2,2,2
52,Plant-Based Laundry Detergent Pods,Laundry Detergent,2,2,2
53,Natural Powdered Laundry Detergent,Laundry Detergent,2,2,1
54,Biodegradable Laundry Soap Sheets,Laundry Detergent,1,1,1
55,Organic Liquid Laundry Detergent,Laundry Detergent,1,1,1
56,Solar-Powered Charger,Charger,1,1,3
57,Wireless Charger,Charger,1,1,2
58,Biodegradable Phone Charger Cable,Charger,1,2,1
59,USB-C Eco Charging Cable,Charger,1,1,2
60,Energy-Efficient Phone Charger,Charger,1,1,3
61,Beeswax Food Wrap,Food Wrap,1,1,1
62,Silicone Food Wrap,Food Wrap,1,1,1
63,Reusable Plastic Wrap Alternative,Food Wrap,1,1,1
64,Compostable Food Wraps,Food Wrap,1,1,1
65,Fabric Food Wrap,Food Wrap,1,1,1
66,Recycled Paper Notebooks,Notebook,2,3,1
67,Eco-friendly Journals,Notebook,1,1,1
68,Plantable Seed Paper Notebooks,Notebook,1,1,1
69,Bamboo Paper Notebooks,Notebook,1,1,1
70,Recycled Cardboard Notebooks,Notebook,1,1,1
71,LED Light Bulbs,Light Bulb,1,1,3
72,Compact Fluorescent Light Bulbs,Light Bulb,1,1,3
73,Solar-Powered Light Bulbs,Light Bulb,1,1,3
74,Smart LED Light Bulbs,Light Bulb,1,1,3
75,Dimmable LED Bulbs,Light Bulb,1,1,3
76,Reusable Coffee Cup,Coffee Cup,1,1,1
77,Travel Mug,Coffee Cup,1,1,1
78,Insulated Coffee Cup,Coffee Cup,1,1,1
79,Bamboo Coffee Cup,Coffee Cup,1,1,1
80,Glass Coffee Cup,Coffee Cup,1,1,1
81,Organic Cotton Clothing,Clothing,1,2,2
82,Hemp Clothing,Clothing,1,2,2
83,Recycled Polyester Clothing,Clothing,2,3,2
84,Bamboo Fabric Clothing,Clothing,1,1,1
85,Vegan Leather Clothing,Clothing,2,3,2
86,Glass Storage Containers,Storage Container,1,1,1
87,Stainless Steel Food Storage Containers,Storage Container,1,1,1
88,Silicone Food Storage Bags,Storage Container,1,1,1
89,Recycled Plastic Storage Containers,Storage Container,2,3,2
90,Wooden Storage Bins,Storage Container,1,2,1
91,Plant-Based Meat Alternatives,Meat Alternative,1,2,1
92,Vegan Sausages,Meat Alternative,1,2,1
93,Tofu and Tempeh,Meat Alternative,1,1,1
94,Seitan (Wheat Meat),Meat Alternative,1,1,1
95,Jackfruit Meat Substitute,Meat Alternative,1,1,1
96,Compostable Plate Set,Plate Set,2,2,1
97,Bamboo Plate Set,Plate Set,1,1,1
98,Recycled Paper Plate Set,Plate Set,1,1,1
99,Melamine Plate Set,Plate Set,1,1,2
100,Biodegradable Palm Leaf Plates,Plate Set,2,2,1
101,Electric Car,Car,1,1,3
102,Hybrid Car,Car,1,1,3
103,Hydrogen Fuel Cell Car,Car,1,1,3
104,Car with Solar Roof,Car,1,1,2
105,Car with Recycled Materials,Car,1,1,2
106,Refillable Deodorant,Deodorant,2,2,1
107,Organic Deodorant Stick,Deodorant,1,1,1
108,Aluminum-Free Deodorant,Deodorant,1,1,1
109,Natural Roll-On Deodorant,Deodorant,1,1,1
110,Biodegradable Deodorant,Deodorant,1,1,1
111,Organic Tea Bags,Tea,1,1,1
112,Loose Leaf Herbal Tea,Tea,1,1,1
113,Green Tea,Tea,1,1,1
114,Compostable Tea Pods,Tea,1,1,1
115,Matcha Tea Powder,Tea,1,1,1
116,Water-Saving Showerhead,Showerhead,1,1,3
117,Filtered Showerhead,Showerhead,1,1,2
118,Rainfall Showerhead,Showerhead,1,1,3
119,Adjustable Showerhead,Showerhead,1,1,2
120,Eco-Friendly Showerhead,Showerhead,1,1,3
